onTimeDeliveryRate,financialScore,defectRate,disputeFrequency,geopoliticalRiskFlag,totalShipments,averageDelayDays,daysSinceLastShip,activeShipmentCount,categoryRisk,riskScore,riskTier
42.34,41.93,15.79,13.5,1,53,12.18,119.6,23,3,64.36,high
14.82,11.61,22.44,16.53,0,5,17.74,153.2,41,3,78.65,high
98.13,77.29,1.4,0.23,0,251,1.29,13.6,1,1,8.41,low
50.85,28.42,12.62,9.6,1,25,11.78,132.7,28,1,59.64,medium
84.0,91.47,4.41,1.21,0,285,1.12,9.7,1,0,8.89,low
75.01,71.85,5.83,9.88,0,124,6.26,76.1,7,1,27.92,low
92.82,98.94,2.63,1.33,0,130,2.8,28.0,4,0,8.55,low
96.88,87.85,1.65,1.91,0,186,2.67,17.8,7,1,10.01,low
91.37,94.58,2.37,2.79,0,195,0.06,19.4,7,0,7.81,low
29.49,38.95,18.56,12.66,0,31,11.63,104.2,20,3,59.97,medium
33.08,49.03,16.97,13.5,1,35,10.42,128.7,21,3,64.89,high
59.56,60.99,8.88,4.87,0,130,4.42,25.7,8,3,32.63,medium
91.3,95.55,0.1,0.16,0,265,1.3,15.9,0,0,4.44,low
92.74,76.46,1.58,0.26,0,194,2.05,6.6,1,1,10.9,low
42.48,20.09,15.31,9.65,1,38,13.21,67.4,21,3,65.61,high
41.0,26.91,12.45,11.12,1,39,8.03,60.7,27,2,59.97,medium
99.97,96.66,4.1,2.58,0,122,0.77,1.4,3,1,8.25,low
80.38,81.27,3.4,1.47,0,268,0.2,22.5,2,1,12.55,low
77.46,68.42,14.66,6.59,1,47,3.02,33.9,22,0,36.48,medium
12.71,11.69,23.86,18.58,1,1,19.52,152.6,48,3,90.46,critical
2.44,4.46,27.03,18.71,1,7,16.05,177.4,41,2,92.06,critical
87.22,91.48,0.36,0.56,0,251,1.34,27.9,8,1,8.85,low
29.75,28.82,13.66,13.58,0,59,9.21,94.5,35,3,59.07,medium
83.29,87.98,4.11,0.61,0,101,2.47,23.1,6,0,13.19,low
34.58,44.75,17.09,13.4,1,40,10.15,93.9,32,2,63.88,high
26.87,34.33,16.94,13.01,1,47,13.16,75.8,35,3,70.07,high
50.38,20.38,17.35,9.31,0,36,9.16,103.8,23,2,53.83,medium
56.34,52.48,13.58,4.65,0,136,7.45,25.7,6,2,37.19,medium
72.09,67.37,6.75,6.94,0,123,3.48,81.0,17,1,27.58,low
78.65,51.51,11.33,5.65,0,83,7.69,26.6,7,3,34.19,medium
34.03,35.51,17.94,9.6,1,33,9.35,71.5,36,3,64.93,high
73.72,68.31,8.18,9.05,0,83,7.67,27.0,12,2,31.56,medium
87.5,92.53,2.53,0.09,0,126,1.21,16.7,9,1,10.79,low
50.6,27.25,18.78,11.33,1,33,12.51,88.2,31,3,65.9,high
32.19,40.99,14.74,11.53,1,15,12.91,124.3,36,3,67.37,high
8.15,1.68,29.49,18.84,1,1,17.6,173.4,49,3,95.41,critical
95.23,96.26,3.78,2.01,0,147,2.67,7.4,1,1,9.71,low
69.6,74.37,5.32,7.16,0,78,7.57,22.6,13,1,27.74,low
2.41,7.14,26.67,17.25,1,1,17.81,155.9,46,3,93.07,critical
45.09,25.3,18.05,14.09,0,41,8.57,70.1,33,3,57.79,medium
93.2,75.48,4.71,2.3,0,188,0.74,28.9,9,2,15.23,low
97.46,99.93,4.36,0.84,0,229,2.81,0.9,3,1,7.25,low
2.29,0.37,22.76,19.93,1,2,19.41,151.4,45,3,94.6,critical
44.17,46.08,18.24,14.43,0,50,10.13,123.2,27,3,56.03,medium
82.06,78.2,1.22,1.73,0,203,1.85,2.7,7,1,13.66,low
46.67,37.11,19.28,11.33,0,38,13.82,123.2,29,2,57.22,medium
13.81,0.27,24.94,17.41,1,6,17.17,164.7,46,2,89.48,critical
12.53,13.4,28.2,17.39,1,5,19.11,162.3,46,3,91.38,critical
43.64,28.25,16.22,9.19,0,11,12.59,97.9,20,2,55.33,medium
11.55,0.51,29.17,19.63,1,3,17.08,168.5,47,3,94.51,critical
5.98,11.58,24.37,18.27,1,1,16.12,157.2,40,3,89.46,critical
7.7,3.6,27.22,16.26,1,3,19.48,171.6,40,3,93.15,critical
9.39,4.95,25.18,19.58,1,1,16.57,162.3,47,2,90.55,critical
95.93,97.39,2.32,1.83,0,224,0.43,25.8,7,1,7.1,low
65.07,73.57,13.43,7.79,0,129,4.26,23.1,14,2,31.74,medium
39.57,25.51,20.61,9.43,1,13,9.06,67.5,32,2,65.02,high
86.51,87.52,1.74,2.43,0,203,0.31,15.0,6,2,12.2,low
5.98,14.3,22.1,17.83,1,7,17.57,177.1,44,3,89.24,critical
90.74,94.94,2.72,0.32,0,206,2.99,17.5,2,0,7.97,low
74.96,55.64,9.61,5.0,1,68,7.08,76.6,8,3,42.16,medium
4.98,4.59,23.58,18.43,1,6,19.67,170.4,46,3,93.48,critical
93.17,96.02,2.33,1.17,0,271,1.88,25.6,5,0,6.38,low
77.63,59.54,13.64,9.72,0,36,5.99,50.1,16,2,35.6,medium
42.81,41.83,16.38,14.6,0,26,12.11,120.1,35,3,58.38,medium
84.1,80.98,3.12,0.18,0,146,1.91,9.8,8,0,12.53,low
61.61,53.82,6.76,4.85,1,147,4.71,62.9,17,3,41.96,medium
51.11,45.13,13.44,9.73,0,13,8.58,82.3,20,2,46.84,medium
9.83,1.22,24.24,18.74,1,6,18.17,173.4,40,3,92.18,critical
2.74,2.62,27.16,16.38,1,6,19.17,171.5,40,3,94.23,critical
13.05,5.51,25.91,18.46,1,5,17.32,162.9,45,3,91.0,critical
44.88,29.41,20.94,11.68,0,12,8.99,136.2,38,1,57.08,medium
99.03,98.36,1.67,2.46,0,275,1.25,14.9,6,2,7.08,low
89.79,76.56,1.27,0.86,0,206,0.49,4.4,7,0,9.69,low
63.85,48.47,8.99,7.91,0,43,6.52,22.6,8,0,33.85,medium
9.97,4.68,29.67,16.52,1,2,19.48,157.4,43,3,93.67,critical
3.23,8.0,28.96,16.29,1,3,19.15,178.6,46,2,93.28,critical
3.16,4.04,26.17,19.09,1,4,17.23,174.7,45,3,94.1,critical
72.82,64.31,10.12,8.04,1,59,4.83,85.2,12,2,40.78,medium
59.1,68.18,9.45,9.25,0,62,5.69,50.1,18,1,34.23,medium
58.14,73.09,10.86,9.0,0,33,5.33,85.7,18,1,35.05,medium
65.12,60.76,9.64,7.14,0,132,6.48,65.7,15,3,35.59,medium
9.03,4.05,25.4,18.02,1,3,18.1,157.5,40,1,89.0,critical
35.18,43.75,12.87,8.67,0,29,8.21,115.7,31,3,52.32,medium
97.43,75.75,0.78,1.82,0,215,2.92,6.7,4,0,9.56,low
13.14,10.67,29.06,16.08,1,3,19.26,164.1,44,3,91.47,critical
84.44,92.47,2.44,1.27,0,217,2.19,26.6,5,2,12.63,low
44.98,46.63,17.53,11.02,0,54,9.6,135.4,21,3,53.14,medium
97.27,90.01,4.81,0.88,0,271,2.49,5.0,4,0,7.39,low
75.45,49.09,14.3,4.21,0,36,3.69,39.0,19,2,34.13,medium
59.63,66.58,5.65,9.78,0,49,4.92,71.8,21,3,36.0,medium
62.38,64.15,6.73,7.67,0,49,5.89,21.3,19,0,30.58,medium
41.54,39.93,17.72,13.75,1,44,9.58,128.4,22,2,63.25,high
99.62,78.83,3.39,1.67,0,189,1.57,21.6,8,0,9.86,low
52.21,26.62,19.19,8.73,1,45,8.08,76.1,27,2,59.81,medium
82.08,81.49,4.98,2.56,0,135,2.56,9.3,7,1,16.71,low
61.32,56.86,9.4,8.72,0,134,4.77,72.4,22,2,36.14,medium
33.82,44.98,21.23,8.9,0,52,12.31,103.8,22,2,56.25,medium
13.55,7.87,24.26,18.78,1,2,17.91,174.8,49,3,90.84,critical
93.84,87.95,1.09,1.1,0,136,1.49,16.1,7,0,8.59,low
92.01,95.69,4.38,1.39,0,130,0.54,5.4,3,0,8.22,low
92.73,82.76,0.95,2.31,0,186,1.5,17.2,0,0,9.1,low
65.4,58.84,12.21,4.1,0,142,4.89,53.6,11,2,32.55,medium
57.3,70.2,9.34,7.72,0,89,3.04,36.2,14,1,30.87,medium
5.74,6.85,29.03,19.42,1,6,16.24,158.2,49,1,91.19,critical
74.21,52.93,14.87,6.69,0,120,4.38,64.8,12,2,34.53,medium
84.04,79.27,0.63,1.17,0,125,2.37,7.9,1,0,12.13,low
97.37,89.05,4.29,0.1,0,215,2.55,17.7,2,2,10.48,low
36.77,49.66,13.06,14.0,1,24,12.6,134.7,37,3,65.26,high
68.78,66.91,9.49,9.8,0,145,3.72,60.9,8,1,29.78,low
54.56,26.63,19.39,9.55,1,24,13.23,137.9,20,2,63.97,high
5.88,8.96,22.71,18.35,1,5,18.44,160.9,45,3,91.04,critical
85.77,98.53,2.24,2.03,1,143,0.93,9.0,1,2,19.05,low
33.59,47.34,18.8,13.63,1,16,11.98,139.7,23,3,67.6,high
12.1,7.71,24.67,16.43,0,5,17.02,158.7,47,1,78.44,high
9.23,13.89,22.77,16.85,1,6,19.61,176.2,44,3,89.64,critical
3.88,6.34,27.94,17.51,0,4,19.99,172.4,40,3,86.77,critical
89.05,81.32,1.39,1.96,0,176,0.53,28.7,0,1,11.35,low
91.44,76.76,2.15,0.6,0,260,0.37,11.1,7,0,8.93,low
85.02,77.19,3.32,1.78,0,133,2.92,13.2,3,0,14.35,low
35.66,28.1,19.29,13.53,1,19,13.49,136.8,29,2,70.73,high
75.39,54.19,10.72,6.83,0,76,5.38,34.9,15,2,32.93,medium
91.04,94.59,2.59,0.4,0,191,2.01,14.4,0,0,7.33,low
96.65,86.21,2.68,0.07,0,144,0.05,18.9,1,2,9.78,low
11.55,5.31,29.92,19.72,1,6,17.46,159.4,49,1,91.52,critical
29.92,30.36,17.09,14.62,0,57,9.93,137.3,33,2,60.8,high
83.62,99.43,3.35,0.32,0,216,1.1,17.6,0,1,8.93,low
87.85,80.49,3.14,2.11,0,273,2.79,14.7,6,1,12.88,low
6.16,1.19,25.1,19.87,1,6,18.96,167.0,44,3,94.6,critical
12.12,13.9,22.29,17.17,1,2,18.05,159.5,42,3,87.53,critical
98.13,86.54,2.06,0.17,0,148,2.04,2.7,6,2,10.34,low
70.19,66.71,10.79,5.87,0,72,5.25,82.8,16,2,32.5,medium
90.83,90.62,3.37,2.96,0,250,1.11,21.0,9,0,9.28,low
44.81,42.82,16.74,8.85,1,49,11.2,85.8,38,3,61.68,high
1.49,13.93,24.01,16.68,1,5,16.57,159.9,46,3,89.82,critical
11.6,5.05,22.28,18.53,1,7,17.62,166.8,43,3,89.83,critical
35.83,32.73,15.15,11.77,0,32,13.6,61.3,25,2,56.94,medium
81.95,78.57,4.85,1.05,0,182,1.56,6.8,3,0,13.52,low
41.6,45.26,12.95,11.61,0,31,13.92,64.2,30,1,51.65,medium
69.32,57.83,10.77,8.87,0,81,3.8,44.9,21,1,33.01,medium
0.86,6.61,25.33,19.53,1,6,17.69,164.9,49,3,94.32,critical
5.9,2.61,28.69,19.42,1,3,19.73,173.9,41,1,93.61,critical
32.56,46.53,16.16,9.07,1,30,12.83,127.4,36,2,64.22,high
85.48,83.55,2.06,0.81,0,267,2.05,19.3,9,1,11.67,low
27.03,40.88,19.91,14.76,0,47,12.56,71.0,29,3,62.18,high
44.44,46.36,19.55,14.16,0,17,10.58,94.7,33,0,52.94,medium
12.32,12.59,29.45,18.36,1,3,17.15,168.9,46,2,90.29,critical
75.22,66.38,7.17,4.3,0,89,3.26,42.1,7,0,23.27,low
59.94,68.14,14.98,7.32,0,64,5.87,76.5,7,2,36.79,medium
59.46,72.78,6.22,8.52,0,82,3.93,38.3,12,0,28.05,low
6.93,6.8,25.07,16.11,1,1,18.73,153.8,44,3,91.17,critical
88.78,90.41,0.2,1.89,0,276,2.01,10.5,4,0,7.31,low
89.01,76.69,2.64,1.04,0,242,2.0,1.8,2,0,10.54,low
75.73,72.04,5.82,5.07,0,115,5.58,40.4,24,3,28.25,low
60.75,62.05,8.36,9.63,0,56,6.23,84.0,15,2,36.9,medium
83.34,85.78,3.42,1.1,0,287,1.86,22.2,9,0,10.87,low
70.83,54.32,7.17,5.02,0,90,6.1,62.7,23,0,30.19,medium
39.01,48.88,12.13,11.04,1,51,9.43,66.2,37,3,59.21,medium
64.48,57.89,6.86,9.0,0,80,4.32,55.7,7,3,34.42,medium
59.41,63.34,13.03,4.03,0,148,4.11,89.0,18,1,32.87,medium
2.63,11.1,23.28,17.14,1,3,18.35,163.9,42,3,90.83,critical
42.02,40.34,17.28,14.49,0,21,9.99,96.9,32,3,57.23,medium
56.69,67.2,9.49,8.48,0,67,4.37,51.3,6,2,34.12,medium
37.4,25.38,13.72,10.19,1,21,12.68,97.6,38,3,67.23,high
1.49,3.6,23.54,19.06,1,6,19.25,176.7,43,3,94.37,critical
1.3,3.25,22.95,18.27,1,7,19.11,171.9,49,3,94.09,critical
11.73,9.95,25.61,17.62,1,1,16.88,152.4,47,3,89.65,critical
83.7,90.75,2.13,2.2,0,147,2.95,19.6,3,1,13.16,low
27.91,45.3,14.93,10.51,0,14,10.81,67.2,39,2,55.51,medium
64.91,69.48,6.97,5.82,0,45,4.39,73.3,22,3,32.8,medium
62.2,45.75,8.65,7.85,0,82,4.44,87.7,12,1,35.85,medium
73.68,73.55,10.42,7.61,0,40,3.94,51.1,11,1,28.4,low
28.27,31.96,15.86,11.81,0,49,13.05,85.4,31,3,60.89,high
13.94,8.11,25.47,17.63,1,4,17.9,153.2,49,3,90.19,critical
49.41,27.77,14.38,14.36,1,25,11.24,120.7,37,3,66.08,high
59.61,52.75,14.27,6.23,1,117,4.1,26.1,22,1,43.74,medium
71.29,51.59,9.43,9.27,1,121,4.38,73.6,13,2,42.42,medium
57.77,69.24,12.05,5.33,0,79,6.02,42.8,13,1,33.0,medium
66.24,68.7,11.84,5.67,0,86,4.15,36.9,14,1,30.04,medium
2.65,8.78,27.65,16.57,1,6,17.43,171.0,40,3,92.4,critical
28.86,29.72,12.96,13.27,1,58,12.89,76.5,31,3,68.13,high
67.75,67.13,8.36,4.6,0,148,4.11,64.8,22,0,26.91,low
88.28,83.28,4.69,2.07,0,242,0.74,22.3,4,1,12.18,low
47.8,49.9,19.87,13.17,0,33,9.21,96.0,31,2,52.72,medium
65.72,74.46,12.86,9.75,0,35,6.66,34.3,16,0,32.59,medium
59.37,73.92,9.22,8.27,0,65,7.99,25.0,12,3,35.51,medium
86.96,88.72,2.31,0.59,0,152,1.17,1.8,3,2,11.89,low
39.29,46.04,19.55,11.34,1,40,10.96,108.9,24,1,61.58,high
5.12,9.95,22.53,16.38,1,2,17.18,158.7,43,3,89.03,critical
90.61,98.76,4.06,2.83,0,208,1.86,6.3,6,3,12.56,low
59.38,52.86,13.94,8.43,0,30,4.47,36.4,9,1,37.29,medium
60.89,54.52,11.71,6.42,0,53,5.39,49.3,18,1,35.86,medium
3.68,6.25,28.33,16.66,1,7,19.09,160.3,46,3,94.22,critical
0.68,10.87,26.75,18.47,1,7,19.16,163.7,44,3,94.18,critical
74.47,61.66,6.85,6.04,1,62,6.38,88.8,10,2,39.18,medium
34.11,20.9,15.9,14.85,0,21,10.42,108.9,28,2,60.88,high
26.29,23.5,14.87,13.74,0,44,13.87,85.1,23,1,60.6,high
53.5,35.27,14.48,12.55,0,36,13.84,73.4,29,0,50.69,medium
34.25,40.29,16.04,11.65,0,12,13.82,126.2,24,2,58.04,medium
3.67,11.82,25.07,18.75,1,7,18.48,171.9,42,3,92.31,critical
8.42,0.09,28.71,19.53,1,2,18.28,176.0,44,1,93.0,critical
73.25,67.6,12.88,6.38,0,49,6.82,41.1,10,3,34.07,medium
2.46,8.01,29.71,17.59,1,7,17.24,160.7,49,3,94.42,critical
4.47,1.63,29.37,18.9,1,6,16.38,178.5,40,3,94.79,critical
4.7,12.82,28.79,19.73,1,6,16.25,174.5,40,3,92.71,critical
78.97,66.83,5.92,8.54,0,140,6.42,60.4,10,1,27.09,low
73.54,49.64,6.01,9.1,0,136,4.07,36.3,5,3,32.07,medium
62.87,47.8,8.02,6.16,1,87,3.63,82.7,12,1,41.54,medium
8.24,3.22,27.74,17.55,1,6,17.64,155.7,42,2,91.32,critical
59.87,63.49,10.4,8.83,0,57,3.98,68.3,23,2,36.32,medium
13.59,8.26,22.31,17.0,0,4,19.39,168.5,48,3,81.6,critical
86.92,99.28,1.37,2.8,0,258,1.41,3.1,6,3,11.0,low
41.66,40.78,12.3,10.0,0,19,10.81,123.6,25,1,50.55,medium
0.02,6.67,28.6,18.06,1,4,19.24,155.5,48,2,94.62,critical
41.86,32.17,17.36,13.53,1,26,12.37,80.3,26,3,66.81,high
14.79,10.89,26.94,18.35,1,4,19.84,179.7,44,3,91.9,critical
94.75,76.98,1.52,1.65,0,232,1.05,0.3,6,0,8.85,low
49.11,23.36,17.56,8.79,0,30,11.07,101.6,24,3,56.0,medium
5.34,5.56,24.3,16.95,1,5,16.78,171.0,49,3,91.36,critical
9.37,3.98,22.96,16.54,1,1,16.38,155.8,42,3,88.84,critical
82.08,75.17,1.6,2.3,0,149,2.25,21.9,4,0,14.48,low
5.11,1.15,28.62,17.47,1,1,16.13,166.8,48,1,91.31,critical
71.12,59.69,10.2,7.34,1,49,5.6,68.3,23,0,40.1,medium
77.36,67.73,5.14,9.16,0,98,5.86,42.2,10,2,28.38,low
1.45,4.13,28.28,19.97,1,5,19.86,166.7,44,2,95.86,critical
83.53,79.87,2.16,1.3,0,265,0.75,4.1,8,0,10.55,low
34.87,44.89,16.21,11.0,0,55,9.35,120.8,22,3,54.63,medium
77.9,74.36,8.24,5.2,0,122,4.07,81.6,12,1,24.85,low
1.39,9.69,23.44,18.03,1,2,18.92,159.8,40,2,90.64,critical
86.7,76.34,3.85,0.86,0,185,2.35,9.3,5,3,16.96,low
55.51,60.38,13.48,6.17,1,61,5.61,65.1,22,1,45.38,medium
2.78,11.36,26.19,17.95,1,3,16.25,171.6,46,3,91.75,critical
31.63,40.07,21.7,10.22,1,22,13.27,137.8,29,2,68.79,high
61.26,69.76,10.19,6.01,0,143,5.21,44.6,15,0,29.13,low
69.13,59.53,9.82,8.17,1,146,7.15,88.6,5,1,40.79,medium
59.58,49.04,9.95,5.58,0,84,4.38,31.3,24,3,37.62,medium
85.51,91.07,0.39,0.27,0,122,2.45,11.6,8,1,11.19,low
10.74,14.88,22.83,16.14,1,2,17.48,154.1,41,1,84.18,critical
31.44,34.81,13.15,9.58,1,35,11.77,139.7,27,2,64.27,high
13.79,12.71,22.98,18.92,1,4,18.17,176.7,48,3,89.47,critical
11.4,3.28,27.98,18.26,1,5,17.04,177.8,44,3,92.72,critical
0.98,9.03,23.38,17.18,1,2,18.23,156.1,40,3,91.24,critical
80.19,98.99,1.03,2.74,0,130,2.55,14.0,8,0,11.14,low
99.38,91.7,4.21,1.77,0,107,1.94,25.6,9,1,10.84,low
37.29,44.95,21.65,11.87,1,17,9.28,67.3,37,2,64.2,high
10.04,1.97,26.53,18.57,1,6,19.97,152.4,46,3,94.07,critical
55.8,70.96,10.54,6.75,0,115,3.31,61.8,10,1,31.2,medium
34.19,33.28,17.27,9.97,0,12,9.78,85.6,22,3,56.9,medium
97.36,78.01,2.95,2.94,0,197,0.18,8.2,8,3,13.69,low
33.22,27.28,18.98,11.42,0,50,11.78,87.0,37,1,58.98,medium
76.91,60.85,10.92,6.92,0,34,7.25,45.0,10,3,34.38,medium
96.5,94.56,3.83,0.69,0,187,2.88,29.4,0,2,10.44,low
43.84,20.78,12.04,12.8,0,28,12.27,132.2,38,3,59.6,medium
14.11,13.63,27.76,19.26,1,1,19.43,162.6,41,3,91.57,critical
48.67,44.19,14.65,8.62,0,17,11.56,123.3,37,1,50.22,medium
93.6,79.27,0.31,1.75,0,152,2.43,21.8,3,3,14.32,low
33.82,46.75,16.47,11.72,1,40,11.79,60.5,33,2,62.88,high
48.68,44.16,18.79,12.29,1,18,13.06,126.5,22,2,63.09,high
57.05,47.13,11.09,6.89,0,45,7.78,81.2,12,3,42.42,medium
57.91,51.03,8.13,5.53,0,137,4.46,88.1,10,2,34.9,medium
40.84,29.15,12.24,11.09,0,57,11.96,69.7,25,1,52.32,medium
68.36,52.35,14.57,5.34,0,132,3.83,21.8,7,2,33.26,medium
74.16,50.1,13.4,7.31,0,128,4.53,59.1,6,1,32.72,medium
8.9,6.32,27.03,16.33,1,6,19.1,171.7,46,3,92.56,critical
63.48,60.75,8.66,5.64,0,81,3.55,43.7,18,2,32.09,medium
89.67,93.2,2.1,0.97,0,205,0.81,19.7,3,0,7.39,low
32.03,38.1,12.4,13.98,0,54,11.39,129.9,39,2,57.66,medium
89.22,85.86,2.99,1.81,0,116,2.77,26.6,7,2,15.15,low
43.41,38.14,13.95,13.67,1,10,13.22,132.4,26,2,64.42,high
45.49,39.35,19.1,9.38,0,28,9.13,84.2,37,1,51.78,medium
86.95,91.84,3.02,0.75,0,159,2.54,28.4,2,0,10.32,low
73.44,72.9,11.33,7.71,0,104,4.15,60.7,20,2,30.58,medium
80.12,80.65,0.05,1.66,0,134,1.45,27.6,7,0,12.97,low
58.88,46.18,13.13,6.16,0,130,5.76,51.0,13,2,38.5,medium
77.07,54.01,9.72,4.61,0,136,3.26,46.2,24,2,29.92,low
4.78,2.48,23.94,17.39,1,6,16.43,166.9,49,3,91.77,critical
0.02,4.71,25.45,16.02,1,2,16.54,157.1,43,3,91.86,critical
74.51,67.74,9.83,5.27,0,106,3.56,21.0,14,1,26.28,low
80.1,90.09,4.74,1.78,0,135,2.97,9.1,5,1,15.18,low
91.67,78.93,2.9,0.63,0,104,2.54,1.3,1,2,14.21,low
71.17,60.69,11.56,9.29,1,118,4.44,47.0,12,1,39.89,medium
10.08,12.85,24.7,18.05,1,6,18.28,162.7,45,3,90.12,critical
97.88,84.8,2.19,1.84,0,265,2.11,16.2,1,1,8.65,low
87.25,93.97,2.05,1.46,0,244,1.75,16.4,3,1,9.31,low
78.86,48.61,12.15,8.09,0,102,6.19,74.3,13,0,32.66,medium
83.32,87.51,1.39,2.62,1,220,1.85,13.3,4,1,20.0,low
98.49,81.71,4.28,0.47,0,220,1.25,24.9,5,1,9.96,low
6.64,2.65,23.71,18.56,1,6,18.59,164.7,43,2,91.25,critical
29.51,40.05,21.49,14.12,0,32,10.79,138.5,30,3,62.91,high
33.02,38.29,18.49,10.98,0,47,12.59,65.4,35,2,57.81,medium
88.04,87.2,2.45,1.78,0,240,1.79,8.5,4,2,12.02,low
3.13,3.98,29.83,17.9,1,1,19.79,175.7,49,3,97.15,critical
53.66,29.31,13.9,14.7,1,26,13.24,94.1,33,2,63.74,high
37.63,28.03,15.59,10.14,0,24,12.28,118.1,22,1,55.78,medium
9.28,12.61,24.8,16.73,1,1,18.89,175.1,40,3,90.04,critical
97.64,91.14,1.62,0.14,0,154,1.72,23.4,8,1,8.42,low
76.03,46.96,10.4,8.22,0,135,7.45,68.5,23,2,36.49,medium
85.54,98.91,4.41,0.62,0,159,0.81,20.4,3,0,8.8,low
62.1,59.85,6.77,5.51,0,73,7.69,44.8,5,2,33.18,medium
99.26,85.28,2.47,1.37,0,171,0.5,28.3,0,0,7.3,low
32.43,49.18,12.4,8.29,0,11,11.4,80.3,35,2,51.89,medium
99.67,92.23,1.15,2.54,0,129,1.03,9.7,6,2,9.54,low
33.28,37.04,12.94,9.19,1,44,9.25,95.2,30,3,62.13,high
41.74,35.67,17.24,10.15,0,25,10.65,136.3,22,3,56.36,medium
44.41,45.0,13.57,12.26,0,53,13.85,87.4,23,3,53.98,medium
91.49,79.14,0.65,1.05,0,115,2.26,4.4,0,1,11.71,low
48.61,20.39,16.03,9.91,1,47,9.4,60.1,33,3,63.07,high
6.77,9.35,25.93,16.86,1,3,19.35,150.7,45,3,91.87,critical
42.43,33.07,13.81,13.16,0,55,10.2,63.3,25,2,53.2,medium
88.17,96.77,1.5,2.59,0,261,1.92,4.1,0,3,10.94,low
79.6,67.66,5.85,9.57,0,84,3.17,73.8,24,2,28.83,low
51.73,42.09,17.17,12.69,0,19,11.34,130.4,23,3,54.69,medium
76.79,51.72,8.52,8.24,0,53,5.97,88.6,10,1,32.87,medium
52.65,40.46,16.89,10.41,0,39,11.78,89.1,26,3,52.83,medium
41.01,37.24,14.36,8.62,0,53,10.41,108.2,35,3,54.03,medium
1.58,0.32,23.8,17.91,1,4,19.25,158.9,46,3,94.37,critical
37.52,40.86,17.37,14.99,0,19,8.12,61.7,23,3,55.82,medium
36.96,23.58,12.81,10.31,0,38,8.92,115.1,35,3,56.97,medium
2.31,2.28,23.57,16.99,1,2,17.03,173.6,48,3,92.46,critical
59.73,57.84,9.16,5.5,0,62,4.62,45.2,15,1,32.95,medium
35.05,36.1,20.33,11.2,0,27,8.67,132.8,30,3,59.07,medium
85.57,86.44,0.66,1.78,0,258,2.65,2.8,8,0,9.66,low
10.69,12.02,28.37,16.77,1,3,16.42,171.7,41,3,90.01,critical
57.09,60.85,14.61,7.84,0,100,5.57,88.6,13,3,40.24,medium
32.33,46.46,18.62,14.12,1,28,10.11,81.4,27,3,65.94,high
73.35,57.06,14.07,4.38,0,98,6.17,32.2,21,2,33.8,medium
62.53,52.95,8.76,7.07,1,132,3.67,39.5,7,0,38.21,medium
1.82,9.45,24.91,17.28,1,6,19.92,150.3,47,3,93.13,critical
93.27,89.47,0.72,1.66,0,245,1.96,7.6,6,1,8.43,low
3.65,12.18,23.08,18.63,1,4,18.59,168.4,48,3,91.77,critical
47.28,37.47,12.68,9.96,0,59,13.54,93.1,37,2,52.78,medium
11.14,7.49,27.87,18.79,1,1,19.1,176.3,45,3,93.57,critical
25.96,36.7,19.74,11.02,0,52,11.9,117.5,26,2,60.21,high
67.64,52.22,8.34,5.1,0,85,5.16,41.9,13,1,31.43,medium
1.24,14.3,26.3,16.61,1,7,18.59,165.3,40,3,91.67,critical
12.18,9.98,26.6,18.22,0,2,18.92,157.5,42,3,83.23,critical
6.03,14.76,24.66,18.45,1,1,18.14,173.8,45,3,91.08,critical
30.41,35.13,16.92,12.88,1,54,10.47,128.0,36,3,68.61,high
11.08,8.5,24.06,16.98,1,1,19.26,161.5,43,3,90.32,critical
2.42,13.22,29.57,18.12,1,4,19.07,165.7,40,3,94.22,critical
83.4,91.94,3.75,2.94,0,205,0.54,5.1,0,0,10.03,low
80.06,98.92,0.24,1.65,0,157,1.24,12.8,6,1,10.26,low
30.45,29.73,12.57,13.82,1,16,13.47,138.3,35,3,70.46,high
66.58,58.24,5.48,5.94,0,46,7.9,83.3,21,2,34.71,medium
57.47,68.91,5.95,5.72,0,40,5.06,58.6,7,2,31.61,medium
85.61,98.84,0.39,1.55,0,219,2.2,23.2,9,1,9.3,low
90.55,96.54,0.81,1.99,0,267,0.73,4.9,2,0,5.22,low
90.4,80.13,1.3,0.38,0,129,2.65,28.0,6,0,11.45,low
96.55,91.89,0.86,1.0,0,130,2.07,12.3,8,3,11.54,low
48.38,36.26,16.59,12.84,1,48,9.43,117.4,34,2,62.0,high
95.38,76.01,4.66,1.11,0,256,1.39,17.8,5,2,12.94,low
74.74,58.9,8.14,4.43,0,127,6.26,23.1,5,0,25.95,low
25.54,27.77,16.72,10.82,1,56,13.5,60.2,37,2,68.92,high
55.32,73.69,7.04,6.82,0,126,5.17,80.6,18,3,33.91,medium
90.5,86.92,1.61,0.72,0,214,1.46,14.0,7,0,8.45,low
89.19,91.22,0.56,0.93,0,299,0.28,18.3,0,3,9.27,low
94.53,77.45,0.75,1.39,0,178,0.72,29.8,3,1,10.6,low
94.24,86.89,4.81,0.75,0,242,1.12,27.3,3,0,8.54,low
90.42,77.36,2.47,2.88,0,285,1.71,2.0,9,0,10.77,low
8.75,0.18,25.4,19.51,1,5,17.8,173.1,43,3,93.55,critical
74.63,54.92,5.44,9.69,1,134,4.44,77.5,9,3,40.4,medium
