etaDeviationHours,weatherLevel,routeRiskIndex,carrierReliability,trackingGapHours,shipmentValueUSD,daysInTransit,supplierRiskScore,isInternational,carrierDelayRate,riskScore,riskTier
84.02,high,96.77,6.99,64.13,491927.3,40.2,97.42,1,54.26,89.8,critical
49.09,low,63.8,30.46,29.28,264944.61,18.7,83.37,1,39.28,49.84,medium
4.33,low,7.42,93.88,5.07,32805.27,7.8,14.63,0,3.1,6.41,low
63.91,high,54.72,42.6,38.44,321379.2,32.2,72.25,1,33.17,65.73,high
21.18,medium,42.28,66.37,9.35,113027.75,16.0,22.87,0,25.45,28.44,low
93.64,low,91.55,6.72,59.85,496791.5,39.0,84.99,1,53.9,77.38,high
113.48,medium,96.75,6.71,59.21,405209.8,42.7,81.25,1,49.59,85.44,critical
41.88,medium,79.29,29.09,25.24,176054.6,18.0,66.39,1,43.19,52.7,medium
6.0,low,5.23,96.64,5.48,47154.74,0.4,6.99,1,6.77,8.89,low
56.03,high,72.6,38.04,39.8,190344.79,37.9,62.47,1,48.22,65.12,high
38.5,high,82.24,51.96,36.75,350749.97,18.6,50.13,1,40.96,60.28,high
116.61,high,94.52,15.54,70.91,399866.38,42.2,97.58,1,57.93,93.81,critical
37.21,high,24.54,72.73,23.04,115737.03,21.5,24.78,0,26.54,37.41,medium
16.68,high,22.41,70.98,18.98,113034.22,15.5,36.16,1,16.03,36.19,medium
7.68,medium,47.41,60.79,24.25,122382.85,12.5,32.49,1,28.87,33.39,medium
110.92,high,87.39,6.46,57.97,384181.97,41.2,91.23,1,52.41,89.95,critical
5.86,low,19.44,98.15,7.19,3270.1,7.9,15.24,1,2.91,11.29,low
8.65,low,5.06,93.79,6.0,20129.27,2.6,11.99,0,5.94,5.79,low
16.65,high,33.33,60.33,19.11,121300.34,13.5,20.16,1,13.34,36.97,medium
14.97,low,43.28,67.03,15.53,122413.03,14.4,48.34,0,25.42,24.02,low
-1.4,low,2.73,97.4,7.53,28158.84,5.4,6.7,0,9.85,4.25,low
32.03,medium,36.23,66.05,16.59,80636.68,15.8,42.0,1,11.46,34.33,medium
36.8,high,70.94,25.97,39.56,258901.03,21.9,78.84,1,41.37,62.23,high
5.86,low,50.03,58.3,22.9,109577.63,10.2,22.22,0,24.86,21.67,low
12.5,medium,20.67,65.99,20.75,112451.46,13.7,39.23,0,21.41,26.17,low
100.2,high,86.22,4.71,58.04,485747.0,41.1,89.58,1,55.85,90.54,critical
49.23,medium,60.73,32.26,20.52,347492.82,35.2,70.46,1,41.91,58.4,medium
21.2,medium,33.17,70.91,14.28,157299.42,14.8,24.19,0,16.71,27.82,low
35.25,high,58.04,50.77,39.94,395795.23,21.2,63.0,1,35.01,59.42,medium
109.49,high,89.57,1.32,69.3,482387.74,39.9,95.35,1,55.83,94.4,critical
108.92,high,99.69,1.9,65.89,444619.18,42.8,88.54,1,49.68,93.74,critical
119.76,low,93.34,17.09,66.94,414120.44,43.9,80.81,0,57.79,76.94,high
7.96,low,10.42,95.79,5.99,13614.67,5.8,17.54,0,5.26,6.91,low
67.23,high,71.67,37.58,22.91,391143.98,26.1,78.9,1,29.26,67.99,high
14.83,medium,51.62,57.65,7.41,180393.29,9.7,40.59,0,10.43,29.97,low
39.18,low,21.07,54.42,19.6,193954.7,5.5,39.73,0,11.5,26.03,low
38.79,low,34.99,67.56,22.89,73967.34,14.6,33.3,0,17.35,25.28,low
66.6,high,53.32,47.2,30.17,245378.25,31.4,73.33,1,49.34,63.88,high
101.43,medium,83.21,5.54,69.73,383917.52,39.5,85.08,1,55.07,82.49,critical
57.53,high,83.55,50.31,22.66,352082.4,26.6,51.44,1,41.58,64.12,high
39.28,medium,35.22,69.68,21.43,146948.2,13.3,30.49,1,28.89,37.11,medium
33.72,low,25.02,60.72,8.32,87735.2,11.8,37.83,1,18.48,26.49,low
8.78,medium,31.56,61.82,24.91,38885.05,11.0,23.8,1,29.8,28.77,low
29.05,low,35.81,51.53,7.97,185816.69,12.0,31.42,0,15.06,25.47,low
101.84,high,93.19,15.22,70.84,495637.75,40.9,91.27,0,56.92,88.46,critical
67.87,high,66.19,42.91,46.56,178081.37,29.7,83.32,1,43.67,66.41,high
13.05,medium,44.7,79.7,5.81,158050.07,20.3,28.87,0,16.95,27.27,low
7.99,low,11.3,91.65,7.37,29701.84,0.4,3.21,1,8.68,10.1,low
41.04,high,68.25,46.88,38.01,182935.72,21.4,72.32,1,47.32,58.38,medium
19.08,low,32.31,66.62,5.05,179347.68,13.7,28.85,1,26.54,26.08,low
15.15,low,25.43,77.11,8.2,49958.93,10.8,48.8,1,11.55,20.82,low
-4.34,low,6.76,99.56,5.3,43822.84,7.8,4.74,0,7.2,4.74,low
60.7,high,58.26,33.88,35.81,384919.51,31.0,54.36,0,34.73,62.13,high
116.0,high,82.09,9.39,67.35,400554.93,42.2,81.5,1,52.11,90.77,critical
3.95,low,11.61,82.2,0.8,39667.75,0.1,1.36,0,9.1,5.67,low
7.82,medium,42.91,54.19,12.71,42783.61,15.4,20.8,0,22.86,25.53,low
5.64,low,52.75,75.83,13.87,149358.99,7.8,48.51,0,19.92,21.51,low
106.16,medium,92.11,12.99,60.34,386248.48,38.1,82.38,1,48.92,81.82,critical
107.07,high,98.49,3.53,70.89,476045.94,44.6,80.87,1,52.58,94.31,critical
5.61,high,21.67,78.09,13.87,135560.59,10.8,32.37,1,10.41,31.83,medium
38.93,medium,67.49,39.44,35.64,197971.7,19.1,65.45,1,36.21,51.05,medium
54.01,low,51.08,30.93,30.86,318594.89,37.0,55.03,1,35.77,51.38,medium
61.1,high,52.52,43.71,41.2,221376.01,18.7,58.68,0,34.12,55.32,medium
74.71,medium,53.16,30.18,46.26,316709.71,30.0,56.65,0,38.5,58.24,medium
84.85,medium,82.2,13.02,65.17,410052.03,45.0,97.13,0,57.95,76.83,high
114.0,high,91.7,9.03,64.15,416562.41,43.1,81.46,1,49.16,91.57,critical
15.35,low,36.32,73.13,6.85,131640.67,12.7,30.21,1,17.16,23.59,low
113.63,high,85.2,16.72,60.42,431155.42,44.4,85.17,1,57.22,90.97,critical
81.42,high,88.0,18.51,58.41,387360.07,42.7,93.36,1,59.11,84.43,critical
95.15,high,92.84,11.46,63.28,382858.79,41.6,93.24,1,58.94,88.44,critical
34.07,low,42.29,77.77,7.93,186487.25,5.1,45.47,1,17.86,28.64,low
23.94,low,30.14,69.26,5.09,140278.39,15.6,21.57,0,19.37,20.8,low
39.5,medium,46.29,58.49,7.96,23299.11,19.5,27.27,0,21.64,31.49,medium
106.51,high,90.14,15.04,61.48,445966.52,44.7,80.3,1,51.1,90.15,critical
17.8,low,32.82,75.86,19.25,41485.36,7.3,45.45,1,22.78,23.2,low
95.99,high,97.36,18.12,59.11,426152.99,39.2,84.59,1,57.54,87.83,critical
7.6,low,15.39,97.18,0.29,21942.84,1.5,8.84,0,4.18,5.33,low
71.16,medium,72.32,46.06,37.57,378912.55,29.1,77.88,0,35.67,60.17,high
118.29,medium,89.65,5.25,64.46,450125.49,38.7,96.71,1,49.71,87.82,critical
59.11,medium,80.34,51.05,24.24,358896.77,27.1,60.49,0,33.6,54.58,medium
85.72,high,92.5,3.51,62.75,390943.96,40.7,82.61,1,49.42,85.96,critical
8.21,low,14.88,89.91,3.3,30781.92,2.2,9.94,0,8.01,7.13,low
72.71,high,50.05,41.45,23.1,239700.19,25.0,62.92,1,49.06,62.26,high
102.02,medium,81.24,6.3,69.57,477073.95,43.7,80.03,1,49.2,84.45,critical
81.5,medium,93.0,11.86,70.2,390853.7,41.2,90.15,1,55.06,80.31,critical
0.0,low,11.66,95.19,1.93,37861.44,1.2,19.02,1,3.2,8.96,low
116.77,high,81.88,13.69,62.87,493816.21,40.1,95.07,1,51.75,92.88,critical
36.36,medium,47.87,65.74,17.62,169557.66,9.5,25.07,0,12.02,32.36,medium
8.71,medium,22.83,69.71,12.79,36929.79,12.4,43.23,1,26.13,27.08,low
98.5,high,99.56,12.2,61.3,465938.83,43.2,94.72,1,56.3,91.79,critical
8.83,low,12.15,87.02,1.11,22893.73,5.5,4.45,0,7.81,6.91,low
35.57,medium,57.99,44.89,27.02,186971.77,19.6,63.16,1,41.32,47.77,medium
31.38,low,33.0,79.24,21.92,95832.63,13.7,35.27,0,25.05,23.46,low
84.86,high,89.11,10.56,58.03,478791.17,40.8,81.31,1,51.08,86.3,critical
1.37,low,9.04,92.21,0.67,29485.98,1.8,17.35,0,5.89,4.99,low
16.53,medium,22.55,58.93,19.84,81391.53,11.1,28.2,1,15.65,29.28,low
87.22,high,97.86,13.22,66.03,400841.78,38.9,96.21,1,48.48,87.21,critical
71.4,medium,57.56,25.98,46.79,374089.54,28.0,57.69,1,45.43,64.2,high
38.61,low,40.24,53.52,18.07,165726.73,12.5,25.55,1,20.59,32.19,medium
6.09,medium,22.76,52.2,12.26,43041.93,21.0,24.13,1,25.62,28.39,low
29.99,medium,42.37,77.68,5.48,193391.18,9.8,24.36,0,20.78,29.15,low
5.11,low,12.57,85.6,2.29,31397.89,5.1,10.67,0,2.11,6.79,low
83.7,high,96.21,6.0,62.15,406693.59,42.0,92.92,1,50.25,87.2,critical
58.06,medium,72.42,37.96,47.12,309567.94,33.4,82.22,1,41.58,63.49,high
109.9,high,96.07,12.21,66.63,499962.67,40.9,87.42,1,51.06,93.53,critical
101.61,high,92.18,15.74,60.65,422686.56,43.3,86.03,0,58.83,85.5,critical
91.03,high,89.23,5.03,63.92,421461.56,40.8,89.67,1,56.98,88.33,critical
0.27,medium,9.36,92.38,0.61,43903.14,5.4,6.5,1,9.87,15.2,low
-1.12,low,0.77,86.66,5.04,3471.71,0.2,10.41,1,7.84,7.45,low
73.24,high,84.97,40.32,40.97,339957.45,34.2,65.12,0,45.33,68.62,high
88.1,high,87.43,12.25,65.79,392281.23,39.9,80.7,1,57.85,85.55,critical
5.37,medium,33.81,57.08,19.58,173391.79,8.2,37.08,0,13.35,26.99,low
44.98,high,82.68,27.96,23.02,305824.83,26.2,84.72,1,37.63,65.22,high
7.67,low,18.25,87.17,4.32,45669.12,6.3,17.53,0,8.45,9.55,low
61.94,low,58.93,49.05,22.26,193485.12,22.7,72.12,0,39.09,43.05,medium
10.66,low,27.07,60.29,17.37,70809.45,18.6,47.15,0,14.75,20.86,low
3.18,low,5.92,88.88,0.74,3745.13,7.7,18.02,1,1.24,9.46,low
72.86,high,62.2,31.74,44.93,255369.2,18.3,53.34,1,44.91,65.29,high
108.36,high,83.33,9.69,63.63,481613.06,40.9,99.82,1,54.76,92.43,critical
73.81,high,79.5,45.61,36.13,156447.55,30.6,56.84,0,45.17,61.28,high
3.79,low,1.37,81.37,2.01,3702.47,1.6,5.52,0,0.33,3.78,low
54.12,medium,61.44,35.45,34.3,170343.65,27.1,84.67,0,35.67,51.62,medium
67.07,high,66.14,40.78,24.16,304752.4,20.8,61.59,1,42.83,63.62,high
16.34,medium,45.87,71.15,15.44,192741.61,18.9,32.96,1,11.11,34.47,medium
22.77,medium,46.05,57.46,23.85,179792.9,5.6,40.6,1,16.04,36.23,medium
57.43,high,71.29,29.93,43.02,221607.09,24.2,76.66,0,28.04,60.49,high
8.42,high,31.33,74.63,8.68,151778.46,7.8,40.63,0,15.6,30.12,medium
23.02,low,31.02,65.6,5.77,190159.63,8.6,46.04,1,16.4,26.89,low
93.28,high,86.56,13.57,71.88,383501.09,41.2,94.59,1,54.2,87.83,critical
37.22,low,48.92,54.03,15.46,123433.88,7.2,37.69,0,22.96,27.79,low
8.02,low,10.09,96.3,5.12,20104.38,7.8,17.97,0,7.14,7.4,low
40.19,medium,75.7,35.21,27.14,184348.67,30.1,79.2,0,36.82,50.51,medium
1.02,low,1.34,83.04,3.83,2727.76,0.5,11.09,0,8.32,4.06,low
60.64,high,60.64,37.62,36.3,277270.35,20.4,53.43,1,45.41,62.25,high
56.56,high,60.73,29.04,22.24,227127.54,30.2,53.24,1,35.85,60.7,high
3.35,low,16.44,87.9,6.66,47326.43,4.9,3.48,0,8.84,7.41,low
28.68,high,30.04,57.06,17.85,141298.35,6.8,24.76,1,17.37,38.87,medium
7.16,low,2.0,92.35,2.04,26703.87,4.1,4.54,0,6.52,4.71,low
16.25,medium,37.2,72.32,16.14,96717.85,10.9,42.44,0,28.27,27.55,low
25.72,low,31.02,63.78,8.87,154565.08,13.0,48.71,1,15.59,28.0,low
108.48,high,87.31,0.6,59.26,427974.11,40.6,81.46,1,50.76,90.27,critical
114.07,high,80.44,9.63,58.96,451606.99,39.8,95.56,1,54.62,91.35,critical
33.81,low,44.07,64.37,8.43,35929.97,6.3,21.34,1,17.74,24.86,low
-0.44,low,10.1,95.65,5.53,22879.78,7.3,1.16,0,1.55,4.3,low
6.32,low,8.69,84.41,1.45,27596.26,1.9,1.89,0,1.27,5.16,low
35.5,low,47.07,60.18,18.28,111282.8,9.6,46.99,1,24.28,31.92,medium
116.01,medium,89.74,5.69,61.33,396944.66,44.4,80.61,1,49.33,85.43,critical
8.28,medium,8.65,99.62,1.3,28502.02,6.5,13.19,0,4.87,11.96,low
3.16,medium,16.25,92.11,6.04,2995.34,2.6,12.64,1,9.29,16.15,low
11.61,low,23.71,70.89,21.69,152395.89,11.4,28.43,0,26.82,20.05,low
-3.28,low,15.0,91.99,3.36,1524.26,6.7,2.72,0,7.27,4.9,low
-1.6,low,7.03,88.17,6.93,43160.91,0.5,8.62,0,5.31,4.97,low
106.52,medium,96.61,3.69,64.52,480640.36,39.0,88.57,1,55.53,87.17,critical
70.81,medium,72.46,42.48,47.84,331425.87,23.1,83.38,0,44.34,60.43,high
35.9,high,70.4,29.56,37.75,219470.25,23.7,79.65,0,37.78,56.63,medium
6.43,medium,9.33,92.93,7.75,2993.41,0.8,14.18,0,7.02,11.68,low
106.18,high,86.39,14.32,64.06,406693.4,41.1,84.44,1,51.97,88.8,critical
45.84,medium,54.62,28.41,33.78,167673.9,33.9,75.88,1,34.65,54.3,medium
54.14,medium,53.11,42.52,40.59,171669.96,25.7,81.15,1,49.82,55.05,medium
93.3,high,93.43,17.35,58.61,459808.4,40.3,81.24,1,51.47,87.23,critical
4.64,low,5.17,95.61,4.48,14964.39,7.7,17.23,0,7.71,6.02,low
10.71,high,30.91,56.3,8.23,56815.86,5.1,32.43,0,12.3,28.64,low
9.84,low,0.22,91.36,1.43,32775.08,1.1,12.79,0,8.21,5.4,low
19.89,high,28.65,73.26,9.8,93276.24,15.2,46.05,0,26.36,33.23,medium
-1.01,low,3.21,81.21,4.65,15822.15,0.0,10.47,0,5.29,4.36,low
56.96,high,52.91,45.96,26.16,166702.28,22.0,54.48,0,29.67,51.35,medium
-3.7,low,9.08,90.01,3.37,14864.51,7.3,2.53,0,8.13,4.87,low
47.08,high,83.24,46.43,36.65,322960.49,20.0,81.07,1,47.98,65.05,high
36.45,low,76.14,39.41,32.62,379834.86,29.1,76.05,0,28.6,47.78,medium
55.5,high,72.74,35.48,26.47,233445.27,18.3,68.27,1,39.7,61.26,high
-2.01,low,1.14,84.87,2.33,6882.24,5.5,17.02,0,2.25,4.57,low
64.32,low,74.65,29.19,28.99,334840.21,29.0,71.42,0,46.55,53.07,medium
101.46,high,98.51,8.37,58.56,420097.97,42.3,95.51,1,52.61,90.85,critical
48.14,medium,67.24,45.97,48.64,352916.36,20.0,64.03,1,33.48,57.09,medium
7.34,low,8.75,81.73,1.42,7649.84,1.1,15.33,1,4.12,10.26,low
18.41,low,21.57,57.02,5.63,20111.51,13.9,29.11,0,27.76,18.02,low
53.44,high,68.74,32.55,38.85,225586.0,35.7,84.08,1,29.99,65.6,high
33.79,medium,20.76,74.83,22.64,148829.33,7.1,38.59,0,13.93,28.56,low
56.58,high,82.92,41.65,44.19,399046.39,26.8,59.63,1,43.26,69.07,high
56.27,high,58.8,49.55,37.48,397311.4,30.6,83.49,0,45.27,63.26,high
102.19,high,95.86,6.5,65.49,494704.87,43.0,82.17,1,60.0,92.96,critical
35.73,low,72.75,38.11,49.95,233275.93,24.2,83.6,1,45.2,50.62,medium
73.82,high,50.26,29.13,34.11,360719.4,32.4,75.02,0,38.26,65.41,high
97.66,high,86.7,4.63,55.13,437190.54,40.3,86.21,1,52.7,88.04,critical
20.04,medium,45.91,74.24,17.17,117351.3,16.0,34.19,1,17.92,33.26,medium
39.5,high,69.14,41.97,43.9,152843.99,31.8,81.89,1,40.57,60.8,high
3.9,high,8.88,97.18,2.43,16092.96,3.7,8.49,1,1.87,20.17,low
118.8,high,81.97,5.56,71.76,442384.38,40.9,83.18,1,52.6,93.08,critical
6.07,low,44.94,55.06,23.62,52737.65,19.1,28.12,0,10.74,21.25,low
66.36,low,58.09,31.14,42.32,241292.06,32.1,82.47,1,39.49,55.46,medium
31.1,low,49.81,66.18,12.91,184555.51,10.3,42.01,1,18.68,31.37,medium
16.58,medium,46.69,74.13,18.13,90156.4,6.7,22.72,1,18.11,29.62,low
88.58,high,85.3,2.79,70.49,389653.01,41.8,96.69,1,48.39,87.77,critical
-0.57,low,18.63,80.26,1.15,21885.92,1.1,16.44,0,4.23,6.65,low
108.32,high,91.32,13.2,57.35,381449.25,41.1,81.26,1,48.83,88.09,critical
35.76,high,60.14,33.94,38.32,271650.29,36.5,76.78,1,32.33,61.94,high
110.13,medium,81.25,1.9,71.06,481760.01,42.9,89.72,1,57.91,87.88,critical
36.64,medium,54.38,33.86,28.9,284153.94,26.4,60.67,0,29.12,47.38,medium
6.1,medium,21.23,57.36,19.59,51090.42,13.2,37.88,0,29.98,24.7,low
115.25,high,96.49,13.13,68.32,383420.8,40.3,95.11,1,56.86,92.75,critical
112.74,high,90.44,16.14,55.6,477653.59,41.3,94.93,1,59.65,92.46,critical
97.37,high,91.32,17.1,69.83,460645.08,44.5,93.46,1,51.94,90.77,critical
64.69,high,81.78,44.05,21.24,373222.52,23.7,69.69,1,28.38,66.26,high
93.09,medium,93.6,17.44,66.02,389944.76,43.1,93.15,1,48.35,81.59,critical
114.09,high,99.07,13.81,64.16,420268.46,39.2,98.8,1,55.18,93.2,critical
7.02,low,11.77,84.07,4.83,28295.83,1.3,7.5,1,6.22,10.75,low
-2.56,low,6.04,81.32,6.31,22904.77,4.1,1.1,1,3.47,8.88,low
66.24,medium,77.84,36.84,44.59,195549.78,31.6,52.28,1,32.51,59.42,medium
33.65,high,20.44,75.08,24.79,177302.72,10.2,41.48,1,27.27,41.07,medium
7.49,high,39.78,74.09,21.58,55937.98,21.5,22.55,0,26.48,31.87,medium
-4.27,high,12.94,92.91,2.17,6021.69,7.7,18.63,1,5.84,21.9,low
-3.76,low,19.62,91.39,4.18,15998.1,3.3,4.14,0,1.01,5.05,low
2.59,low,18.78,97.32,4.57,20564.48,1.9,12.73,0,2.43,5.52,low
-3.93,low,16.02,87.5,6.69,23330.71,6.4,16.42,0,1.58,7.04,low
50.61,high,66.44,36.98,30.67,170275.24,35.2,81.18,1,38.46,62.35,high
5.0,medium,19.96,91.93,5.72,47363.89,4.8,10.02,0,8.17,14.09,low
19.66,low,45.82,77.2,21.01,69796.2,16.7,24.54,1,12.55,25.15,low
73.19,low,62.07,35.21,46.33,209835.52,32.2,54.45,1,41.04,54.34,medium
26.49,medium,49.14,69.34,10.16,68225.25,12.1,27.0,0,18.28,28.11,low
-0.44,medium,17.13,83.81,6.11,24412.87,1.5,9.41,0,4.4,12.26,low
-0.02,low,10.83,97.71,0.97,25122.67,4.6,0.28,0,6.45,3.5,low
8.42,low,10.06,99.78,2.4,43706.21,2.0,8.02,1,0.41,9.11,low
6.45,low,3.11,99.83,2.29,10055.44,0.6,6.08,0,5.41,3.02,low
5.91,low,19.3,80.57,5.65,5637.91,7.5,14.83,0,7.93,9.15,low
101.68,high,82.66,14.13,58.14,460020.84,40.0,92.24,1,48.03,88.34,critical
8.61,high,41.44,67.61,16.23,121255.47,12.0,21.82,0,28.98,32.31,medium
84.11,high,86.07,19.56,70.82,493514.82,44.5,90.34,1,52.29,88.13,critical
100.53,low,83.4,8.81,56.76,485784.4,40.0,85.25,1,56.69,77.24,high
-2.29,low,0.05,94.32,3.54,8061.15,0.8,4.46,0,9.97,2.32,low
7.63,low,16.58,94.85,7.87,29474.73,0.9,18.36,0,3.42,7.33,low
85.95,medium,88.83,16.6,58.09,428032.74,41.7,86.53,1,59.51,79.79,high
118.43,high,87.96,2.52,57.7,394250.98,38.4,98.19,1,58.08,92.45,critical
-2.43,low,0.98,83.89,0.77,13266.48,2.6,19.88,0,5.65,4.56,low
96.86,medium,89.49,13.31,66.88,409868.48,43.3,97.88,1,58.82,83.89,critical
62.37,high,67.48,45.25,29.92,284159.57,20.3,50.37,1,45.63,61.83,high
93.18,high,81.5,9.24,69.48,484679.81,42.6,92.79,1,55.87,90.01,critical
111.11,high,91.18,15.72,68.55,468864.65,44.5,81.83,0,59.95,89.07,critical
8.44,medium,14.87,98.46,3.44,9425.19,0.0,4.41,0,5.28,10.8,low
55.63,medium,72.68,34.3,33.0,233383.43,33.2,62.64,1,31.14,57.75,medium
80.66,high,84.34,4.07,66.64,387687.93,38.8,92.14,1,48.2,84.69,critical
-3.23,low,6.47,80.5,0.09,16615.63,3.3,6.57,0,0.53,4.29,low
-4.91,low,16.14,91.61,7.15,20606.32,4.1,11.73,1,1.71,9.85,low
67.32,high,82.81,41.93,21.44,381783.08,26.5,80.4,1,45.57,69.81,high
43.06,medium,66.7,44.23,32.06,310757.76,26.0,58.84,0,43.36,50.71,medium
53.74,low,68.7,43.54,24.43,340316.39,27.0,79.84,1,34.12,52.08,medium
118.75,medium,81.01,4.03,55.08,403648.06,44.9,81.44,1,54.11,85.0,critical
95.19,high,90.27,10.96,60.09,470926.74,42.9,95.23,1,53.87,90.0,critical
25.71,low,28.52,71.93,8.96,197015.85,16.8,40.39,1,20.05,28.23,low
7.37,low,16.81,87.13,0.72,17889.24,3.9,12.43,1,1.96,10.98,low
69.25,high,71.93,49.84,47.05,395143.78,25.2,84.55,1,32.78,70.49,high
-2.28,medium,1.99,93.06,3.64,46783.46,6.9,12.94,1,6.25,15.15,low
7.7,medium,46.83,69.68,17.49,56747.02,7.2,20.62,0,16.29,23.39,low
64.81,high,73.69,41.89,39.89,354683.5,37.3,57.48,0,46.32,65.79,high
84.57,high,85.94,1.32,60.23,394078.79,42.4,83.87,1,56.55,85.85,critical
46.48,high,58.73,38.66,27.95,195643.13,36.4,51.8,0,40.7,54.83,medium
85.27,high,91.41,11.21,69.23,474430.44,43.9,86.09,1,51.66,88.7,critical
93.91,high,99.79,1.59,55.34,414243.87,41.0,83.74,1,59.46,89.07,critical
21.51,low,53.02,75.78,17.28,125107.05,5.1,30.33,0,19.0,22.25,low
119.63,high,84.2,14.88,57.39,431899.09,42.7,96.88,1,59.53,92.6,critical
99.41,high,84.91,2.17,68.64,440121.67,42.6,84.82,1,48.2,89.96,critical
71.32,high,84.84,26.17,46.99,256403.95,36.5,51.13,1,33.17,70.81,high
43.1,high,81.07,28.92,23.17,299758.61,36.1,77.41,1,39.32,65.73,high
114.48,high,90.34,14.14,65.73,419689.52,44.6,88.06,1,52.36,92.26,critical
49.48,low,77.98,26.49,44.42,211170.04,18.3,52.08,0,34.53,45.5,medium
87.79,high,85.03,10.16,62.87,489711.42,38.8,95.77,1,52.21,88.07,critical
7.33,low,12.66,96.55,3.58,16630.06,1.7,11.69,0,5.18,5.59,low
49.58,high,77.42,48.36,30.91,256546.91,18.7,67.01,1,30.69,59.87,medium
3.81,low,9.3,86.54,3.21,33245.9,2.7,16.38,0,2.03,6.25,low
4.55,medium,1.29,88.34,7.63,16910.31,5.8,11.58,0,0.39,11.4,low
33.52,low,37.87,56.26,10.12,50396.2,18.0,48.5,1,16.96,29.61,low
118.76,medium,96.81,17.36,57.95,474991.04,43.8,91.08,1,59.02,88.5,critical
7.05,low,3.88,89.82,3.53,10929.72,7.0,9.48,1,7.58,9.93,low
110.24,medium,98.33,16.19,65.87,468580.61,38.7,83.82,1,51.61,85.99,critical
10.33,low,30.65,74.95,23.18,151705.68,17.5,27.66,1,24.9,25.29,low
15.83,low,41.7,68.93,24.12,75679.18,18.2,30.78,0,27.96,23.07,low
93.96,high,85.14,8.98,62.84,449621.22,44.5,88.3,0,52.33,84.77,critical
32.29,low,54.97,77.49,22.66,79505.78,6.1,31.57,0,25.29,24.49,low
82.78,high,81.08,2.74,55.42,495893.59,43.9,88.88,1,56.14,87.35,critical
94.61,high,88.83,12.82,62.85,473619.59,42.1,97.6,1,56.25,90.11,critical
10.28,low,24.42,71.13,7.85,96208.93,8.8,48.13,0,10.47,17.0,low
6.28,low,1.05,81.14,5.62,12163.97,4.6,14.11,0,7.32,6.52,low
17.97,low,28.54,61.0,7.65,153771.84,7.0,32.22,1,11.05,23.72,low
47.18,high,54.75,51.96,49.91,280457.41,25.4,83.46,0,47.13,58.63,medium
33.2,low,54.11,70.16,17.61,68129.09,12.3,31.08,1,14.34,28.79,low
67.0,high,59.43,38.17,35.99,177907.65,21.8,73.02,1,39.46,62.21,high
104.83,high,83.63,4.47,60.95,476994.99,43.8,98.21,1,48.78,91.92,critical
6.05,high,1.09,86.64,3.67,16930.0,0.1,14.02,0,1.0,16.59,low
-1.59,low,1.65,98.58,3.39,22410.4,4.6,12.72,0,4.75,3.41,low
68.99,high,81.15,38.45,49.23,376562.55,23.6,82.51,1,38.9,72.45,high
106.87,high,87.3,8.61,71.49,454820.39,38.5,85.29,1,52.18,91.21,critical
17.01,high,20.67,70.17,11.36,74967.12,12.7,31.26,1,22.43,33.89,medium
109.85,high,95.59,16.44,64.98,385981.45,44.0,91.72,1,53.48,91.18,critical
8.66,medium,33.47,71.27,20.87,117449.19,6.7,25.98,0,18.21,24.1,low
53.73,low,76.7,31.23,47.84,345142.2,37.1,83.9,1,48.06,60.05,high
61.32,low,82.21,47.13,34.42,245110.97,30.3,78.77,0,39.44,50.42,medium
64.85,high,62.11,44.69,45.23,282083.68,29.8,52.51,1,29.31,64.13,high
5.27,low,4.4,95.7,1.07,11884.52,6.5,17.72,0,4.18,5.19,low
-3.88,low,0.54,83.33,0.3,3538.96,8.0,19.58,0,5.62,5.21,low
59.92,high,61.97,25.85,31.06,269591.46,36.5,57.69,0,45.56,61.9,high
6.16,low,1.76,98.16,4.1,8316.15,6.7,1.06,0,6.86,3.92,low
15.17,medium,20.57,64.39,13.62,162800.81,7.3,46.11,1,13.55,30.12,medium
84.29,high,85.89,15.56,65.96,480194.51,43.7,88.17,1,56.1,87.62,critical
72.28,high,71.73,28.61,44.97,252534.3,25.6,64.81,0,49.36,65.09,high
83.86,medium,84.32,4.15,67.94,383225.51,41.8,99.13,0,56.18,76.92,high
71.82,medium,77.89,34.11,32.04,399150.99,26.4,76.14,0,44.58,62.0,high
105.04,high,97.42,1.66,56.45,451211.28,41.9,91.0,1,59.45,92.58,critical
2.65,low,7.97,94.04,7.86,2812.05,5.9,19.26,0,9.58,6.21,low
2.54,low,12.55,84.58,4.27,41827.43,0.8,17.57,0,5.36,6.9,low
4.25,medium,18.45,85.14,7.54,18260.77,1.2,18.16,0,4.85,13.75,low
5.94,low,16.79,96.98,5.24,47550.31,3.3,6.32,1,9.76,10.87,low
5.77,low,38.62,51.65,10.27,120950.39,9.8,44.86,1,29.95,25.9,low
114.95,medium,83.12,6.5,65.11,402361.74,44.2,95.29,1,56.23,86.52,critical
22.03,medium,45.74,50.75,22.4,48447.66,10.2,39.63,1,11.39,33.85,medium
45.43,high,68.87,30.99,25.21,169375.21,34.9,74.25,1,47.13,61.65,high
81.72,high,87.63,2.32,56.84,404720.07,41.2,91.31,1,59.47,85.88,critical
74.05,high,51.86,43.45,41.88,245878.79,26.8,82.02,1,37.23,65.82,high
102.68,high,99.57,4.17,66.9,485754.02,38.6,81.03,1,53.88,92.38,critical
